id,top1,top2,left1,left2
train_07464,G,g,G,g
train_02324,A,a,A,a
train_03672,B,B,B,B
train_00006,M,m,M,m
train_12520,d,d,D,D
train_11218,F,f,F,f
train_05607,f,f,F,F
train_08803,E,e,E,e
train_05726,E,e,E,e
train_09621,A,A,A,A
train_00887,g,g,G,G
train_04332,m,m,M,m
train_04556,B,B,B,b
train_07522,B,B,B,B
train_05975,m,m,M,m
train_12442,M,m,m,m
train_09049,b,b,b,b
train_08454,M,M,m,m
train_12421,M,M,m,m
train_07947,b,b,b,b
train_03445,m,m,M,m
train_10355,A,A,A,a
train_06203,H,h,H,h
train_08627,d,d,D,d
train_09042,E,e,E,E
train_01964,E,e,E,E
train_07404,F,f,F,f
train_09343,F,F,f,f
train_08766,b,b,b,b
train_01748,f,f,F,f
train_05049,f,f,f,f
train_00077,B,B,B,b
train_04688,H,H,h,h
train_12620,b,b,b,b
train_07389,a,a,A,A
train_02484,H,h,h,h
train_09296,m,m,m,m
train_06364,M,m,M,M
train_08910,F,F,F,F
train_02379,F,f,F,F
train_01457,F,F,f,f
train_08554,F,F,F,F
train_11345,F,f,F,f
train_02951,B,B,B,b
train_08496,d,d,D,d
train_11045,A,a,A,a
train_01029,I,i,I,i
train_00335,L,L,L,L
train_10488,F,f,F,f
train_06291,f,f,F,F
train_01728,L,l,L,L
train_02682,B,b,b,b
train_00158,B,b,B,b
train_12444,b,b,b,b
train_05822,b,b,b,b
train_06751,E,E,e,e
train_00566,H,h,h,h
train_01817,b,b,b,b
train_12624,b,b,B,b
train_08499,a,a,a,a
train_07096,h,h,h,h
train_06685,G,g,g,g
train_06457,b,b,B,b
train_07986,A,a,a,a
train_04327,E,e,e,e
train_00021,e,e,E,E
train_02625,E,E,e,e
train_05508,E,E,e,e
train_00032,B,b,B,B
train_05533,B,b,B,B
train_08275,E,E,E,E
train_00277,b,b,B,b
train_02659,B,B,b,b
train_11069,B,b,b,b
train_04636,F,F,F,F
train_05129,b,b,B,B
train_02788,n,n,n,n
train_10032,H,H,H,h
train_07491,A,a,A,a
train_02954,A,A,A,A
train_07713,l,l,L,l
train_01653,R,r,R,r
train_05268,R,r,R,r
train_12024,h,h,h,h
train_08809,I,i,I,I
train_08817,I,I,I,I
train_01174,i,i,I,i
train_12244,F,F,F,F
train_08049,L,L,L,L
train_07380,F,F,F,F
train_05846,F,f,F,F
train_08188,L,l,l,l
train_09600,e,e,e,e
train_00867,e,e,E,e
train_07065,e,e,E,e
train_00124,E,e,E,E
train_01568,F,F,F,F
train_05208,F,F,F,F
train_06907,F,f,F,F
train_12704,F,F,f,f
train_05680,F,f,F,f
train_12239,f,f,F,F
train_06603,f,f,F,f
train_10064,f,f,F,f
train_07637,f,f,f,f
train_11013,F,F,f,f
train_12579,F,f,f,f
train_02426,L,L,L,l
train_01740,L,l,L,L
val_01237,b,b,B,b
val_03458,b,b,b,b
val_03959,m,m,M,M
val_03289,f,f,F,f
val_03452,h,h,H,h
val_01021,H,h,h,h
val_03744,f,f,f,f
val_01128,F,f,F,f
val_02310,e,e,E,e
val_00659,H,H,H,h
val_00207,a,a,A,A
val_03518,A,A,A,A
val_02527,b,b,B,B
val_01398,b,b,B,B
val_02845,F,f,f,f
val_01338,E,e,E,E
val_02001,B,B,b,b
val_03267,L,l,L,l
val_00360,B,b,B,B
val_01320,g,g,G,g
val_01305,B,B,b,b
val_03138,F,F,f,f
val_02180,f,f,F,f
val_04022,A,a,A,a
val_03392,F,F,F,f
val_03828,E,e,E,e
val_00761,H,H,H,H
val_01231,r,r,r,r
val_01182,b,b,B,B
val_03124,d,d,d,d
val_02568,E,E,E,E
val_03057,r,r,R,R
val_03643,f,f,F,F
val_00100,F,F,F,F
val_04004,E,E,e,e
val_00585,F,f,F,f
val_00029,e,e,e,e
val_03852,e,e,e,e
val_02834,F,F,F,f
val_01733,f,f,f,f
val_01854,F,f,F,F
val_00085,l,l,L,l
val_00454,l,l,l,l
test_00128,E,E,E,E
test_02891,G,G,G,G
test_02425,B,b,b,b
test_00930,F,F,F,F
test_03725,L,L,l,l
test_00009,f,f,f,f
test_00347,b,b,B,B
test_01998,L,l,l,l
test_02971,l,l,L,l
test_03429,B,B,b,b
test_02414,n,n,N,N
test_04028,B,b,B,b
test_02243,A,a,A,a
test_03513,G,g,g,g
test_01954,h,h,H,H
test_04105,f,f,F,F
test_03070,F,f,f,f
test_01239,L,l,l,l
test_04152,n,n,N,n
test_02326,E,E,E,E
test_02929,B,b,B,B
test_02616,R,R,r,r
test_04060,R,r,r,r
test_03240,F,F,F,F
test_03412,F,f,F,f
test_00469,f,f,F,f
test_01058,d,d,D,D
test_02818,e,e,E,E
test_03851,A,a,A,A
test_00050,F,f,F,F
test_02771,a,a,a,a
test_02012,f,f,F,f
test_02088,f,f,f,f
test_00712,F,f,F,f
test_01241,F,f,f,f
